"UniqueId","FullName","University","JoinYear","SubField","Bachelors","Doctorate"
"45","Violet R. Syrotiuk","Arizona State University","2002","Computer Networks","University of Alberta","University of Waterloo"
"46","W. T. Tsai","Arizona State University","2000","Computer Architecture","Massachusetts Institute of Technology","University of California, Berkeley"
"47","Yalin Wang","Arizona State University","2010","Computer Vision","Tsinghua University","University of Washington"
"48","Yan Shoshitaishvili","Arizona State University","2017","Computer Security","Rensselaer Polytechnic Institute","University of California, Santa Barbara"
"49","Yann-Hang Lee","Arizona State University","2000","Embedded & Real-Time Systems","National Cheng Kung University","University of Michigan"
"50","Yezhou Yang","Arizona State University","2020","Artificial Intelligence","Zhejiang University","University of Maryland"
"54","Aravind Prakash","Binghamton University","2015","Computer Security","B.M.S. College of Engineering","Syracuse University"
"55","Arti Ramesh","Binghamton University","2017","Machine Learning & Data Mining","Pondicherry University","University of Maryland"
"56","Dmitry Ponomarev","Binghamton University","2003","Computer Architecture","Moscow State Institute of Electronics and Mathematics","Binghamton University"
"57","Guanhua Yan","Binghamton University","2014","Computer Security","Huazhong University of Science and Technology","Dartmouth College"
"58","Hui Lu","Binghamton University","2017","Computer Networks","Shanghai Jiao Tong University","Purdue University"
"59","Jeremy Blackburn","Binghamton University","2019","Machine Learning & Data Mining","University of South Florida","University of South Florida"
"60","Kanad Ghose","Binghamton University","1987","Computer Architecture","University of Calcutta","Iowa State University"
"61","Kartik Gopalan","Binghamton University","2006","Computer Security","University of Delhi","Stony Brook University"
"62","Kenneth Chiu","Binghamton University","2004","High-Performance Computing","Princeton University","Indiana University Bloomington"
"63","Kyoung-Don Kang","Binghamton University","2003","Embedded & Real-Time Systems","Kyungpook National University","University of Virginia"
"64","Lei Yu","Binghamton University","2005","Machine Learning & Data Mining","Dalian University of Technology","Arizona State University"
"65","Lijun Yin","Binghamton University","2014","Computer Vision","Shanghai Jiao Tong University","University of Alberta"
"66","Madhusudhan Govindaraju","Binghamton University","2003","Algorithms & Complexity","Indiana University Bloomington","Indiana University Bloomington"
"67","Michael J. Lewis","Binghamton University","1999","High-Performance Computing","Duke University","University of Virginia"
"68","Mo Sha","Binghamton University","2015","Computer Networks","Beihang University","Washington University in St. Louis"
"69","Patrick H. Madden","Binghamton University","1998","Algorithms & Complexity","New Mexico Institute of Mining and Technology","University of California, Los Angeles"
"70","Ping Yang","Binghamton University","2006","Machine Learning & Data Mining","Sun Yat-sen University","Stony Brook University"
"71","Seunghee Shin","Binghamton University","2018","Computer Architecture","Myongji University","North Carolina State University"
"72","Shiqi Zhang","Binghamton University","2018","Algorithms & Complexity","Harbin Institute of Technology","Texas Tech University"
"73","Weiyi Meng","Binghamton University","2016","The Web & Information Retrieval","Sichuan University","University of Illinois at Chicago"
"74","Weiying Dai","Binghamton University","2015","Comp. Bio & Bioinformatics","Peking University","University of Pittsburgh"
"75","Yao Liu","Rutgers University","2013","Operating Systems","Nanjing University","George Mason University"
"76","Yifan Zhang","Binghamton University","2014","Mobile Computing","Beihang University","College of William & Mary"
"77","Yu David Liu","Binghamton University","2008","Programming Languages","South China University of Technology","Johns Hopkins University"
"78","Zhongfei (Mark) Zhang","Binghamton University","1999","Machine Learning & Data Mining","Zhejiang University","University of Massachusetts Amherst"
"80","A. J. Kfoury","Boston University","1999","Programming Languages","Massachusetts Institute of Technology","Harvard University"
"81","Abraham Matta","Boston University","1999","Computer Networks","Alexandria University","University of Maryland"
"82","Adam D. Smith","Boston University","2017","Machine Learning & Data Mining","McGill University","Massachusetts Institute of Technology"
"83","Alina Ene","Boston University","2016","Algorithms & Complexity","Princeton University","University of Illinois at Urbana-Champaign"
"84","Azer Bestavros","Boston University","1991","Computer Networks","Alexandria University","Harvard University"
"86","Brian Kulis","Boston University","2018","Machine Learning & Data Mining","Cornell University","University of Texas at Austin"
"87","David Starobinski","Boston University","2000","Computer Security","Technion - Israel Institute of Technology","Technion - Israel Institute of Technology"
"88","Derry Tanti Wijaya","Boston University","2018","Natural Language Processing","National University of Singapore","Carnegie Mellon University"
"89","Emily Whiting","Boston University","2017","Computer Graphics","University of Toronto","Massachusetts Institute of Technology"
"90","Evimaria Terzi","Boston University","2014","Algorithms & Complexity","Aristotle University of Thessaloniki","University of Helsinki"
"91","Francesco Orabona","Boston University","2018","Machine Learning & Data Mining","University of Naples Federico II","University of Genoa"
"92","George Kollios","Boston University","2000","Databases","National Technical University of Athens","New York University"
"93","Gianluca Stringhini","Boston University","2018","Computer Security","University of Genoa","University of California, Santa Barbara"
"94","Hongwei Xi","Boston University","2001","Programming Languages","Nanjing University","Carnegie Mellon University"
"96","John W. Byers","Boston University","1999","Computer Networks","Cornell University","University of California, Berkeley"
"97","Jonathan Appavoo","Boston University","2009","High-Performance Computing","McMaster University","University of Toronto"
"98","Kate Saenko","Boston University","2016","Machine Learning & Data Mining","University of British Columbia","Massachusetts Institute of Technology"
"99","Leonid A. Levin","Boston University","1980","Economics & Computation","Moscow State University","Moscow State University"
"100","Leonid Reyzin","Boston University","2001","Cryptography","Harvard University","Massachusetts Institute of Technology"
"101","Manos Athanassoulis","Boston University","2019","Databases","National and Kapodistrian University of Athens","École polytechnique fédérale de Lausanne"
"102","Manuel Egele","Boston University","2011","Computer Security","TU Wien","TU Wien"
"103","Marco Gaboardi","Boston University","2019","Programming Languages","University of Milan-Bicocca","University of Turin"
"104","Margrit Betke","Boston University","2000","Artificial Intelligence","University of Bonn","Massachusetts Institute of Technology"
"105","Mark Bun","Boston University","2019","Cryptography","University of Washington","Harvard University"
"106","Mark Crovella","Boston University","1994","Computer Networks","Cornell University","University of Rochester"
"107","Michel Kinsy","Texas A&M University","2020","Computer Architecture","Arizona State University","Massachusetts Institute of Technology"
"108","Prakash Ishwar","Boston University","2017","Computer Networks","Indian Institute of Technology Bombay","University of Illinois at Urbana-Champaign"
"110","Ran Canetti","Boston University","2011","Computer Security","Technion - Israel Institute of Technology","Weizmann Institute of Science"
"111","Renato Mancuso","Boston University","2017","Embedded & Real-Time Systems","Tor Vergata University of Rome","University of Illinois at Urbana-Champaign"
"112","Richard West","Boston University","2000","Embedded & Real-Time Systems","Newcastle University","Georgia Institute of Technology"
"113","Sharon Goldberg","Boston University","2010","Computer Security","University of Toronto","Princeton University"
"114","Sofya Raskhodnikova","Boston University","2007","Algorithms & Complexity","Massachusetts Institute of Technology","Massachusetts Institute of Technology"
"115","Stan Sclaroff","Boston University","1995","Artificial Intelligence","Tufts University","Massachusetts Institute of Technology"
"116","Steve Homer","Boston University","1982","Algorithms & Complexity","Howard","Howard University"
"117","Vasiliki Kalavri","Boston University","2019","Databases","National Technical University of Athens","Royal Institute of Technology"
"118","Venkatesh Saligrama","Boston University","1997","Machine Learning & Data Mining","Massachusetts Institute of Technology","Massachusetts Institute of Technology"
"119","Wayne Snyder","Boston University","1987","Artificial Intelligence","Dickinson College","University of Pennsylvania"
"120","Antonella DiLillo","Tufts University","2023","Computer Vision","Brandeis University","Brandeis University"
"121","Harry G. Mairson","Brandeis University","2005","Algorithms & Complexity","Yale University","Stanford University"
"122","James A. Storer","Brandeis University","1981","Algorithms & Complexity","Cornell University","Princeton University"
"123","James Pustejovsky","Brandeis University","1984","Natural Language Processing","Massachusetts Institute of Technology","University of Massachusetts"
"124","Jordan Pollack","Brandeis University","1994","Artificial Intelligence","Binghamton University","University of Illinois at Chicago"
"125","Liuba Shrira","Brandeis University","1987","Operating Systems","Technion - Israel Institute of Technology","Technion - Israel Institute of Technology"
"126","Lotus Goldberg","Brandeis University","2005","Programming Languages","University of California, Santa Cruz","McGill University"
"127","Mitch Cherniack","Brandeis University","1999","Databases","McGill University","Brown University"
"128","Nianwen Xue","Brandeis University","2009","Natural Language Processing","Nankai University","University of Delaware"
"129","Olga Papaemmanouil","Brandeis University","2009","Databases","University of Patras","Brown University"
"130","Pengyu Hong","Brandeis University","2005","Machine Learning & Data Mining","Tsinghua University","University of Illinois at Urbana-Champaign"
"131","Richard Alterman","Brandeis University","1986","Human-Computer Interaction","University of California, Berkeley","University of Texas at Austin"
"132","Sophia A. Malamud","Brandeis University","2009","Natural Language Processing","University of Pennsylvania","University of Pennsylvania"
"133","Timothy J. Hickey","Brandeis University","1984","Visualization","Brandeis University","University of Chicago"
"134","Amy Greenwald","Brown University","2000","Artificial Intelligence","University of Pennsylvania","New York University"
"135","Andries van Dam","Brown University","1965","Computer Graphics","Swarthmore College","University of Pennsylvania"
"136","Anna Lysyanskaya","Brown University","2002","Cryptography","Smith College","Massachusetts Institute of Technology"
"137","Daniel Ritchie","Brown University","2017","Artificial Intelligence","University of California, Berkeley","Stanford University"
"138","David H. Laidlaw","Brown University","1998","Computer Graphics","Brown University","California Institute of Technology"
"139","Eli Upfal","Brown University","1998","Algorithms & Complexity","Hebrew University of Jerusalem","Hebrew University of Jerusalem"
"140","Ellie Pavlick","Brown University","2018","Natural Language Processing","Johns Hopkins University","University of Pennsylvania"
"144","Gabriel Taubin","Brown University","2003","Computer Graphics","University of Buenos Aires","Brown University"
"145","George Dimitri Konidaris","Brown University","2016","Robotics","University of the Witwatersrand","University of Massachusetts Amherst"
"146","Iris Bahar","Colorado School of Mines","2022","Computer Architecture","University of Illinois at Urbana-Champaign","University of Colorado Boulder"
"147","James Tompkin","Brown University","2017","Computer Vision","King's College London","University College London"
"148","Jeff Huang","Brown University","2013","Human-Computer Interaction","University of Illinois at Urbana-Champaign","University of Washington"
"150","John F. Hughes","Brown University","1984","Computer Graphics","Princeton University","University of California, Berkeley"
"152","Malte Schwarzkopf","Brown University","2019","Operating Systems","University of Cambridge","University of Cambridge"
"153","Maurice Herlihy","Brown University","1994","High-Performance Computing","Harvard University","Massachusetts Institute of Technology"
"154","Michael L. Littman","Brown University","2012","Machine Learning & Data Mining","Yale University","Brown University"
"155","Paul Valiant","Purdue University","2021","Algorithms & Complexity","Stanford University","Massachusetts Institute of Technology"
"156","Pedro F. Felzenszwalb","Brown University","2011","Artificial Intelligence","Cornell University","Massachusetts Institute of Technology"
"157","Philip N. Klein","Brown University","1989","Algorithms & Complexity","Harvard University","Massachusetts Institute of Technology"
"158","Roberto Tamassia","Brown University","1988","Computer Security","Sapienza University of Rome","University of Illinois at Urbana-Champaign"
"161","Shriram Krishnamurthi","Brown University","2000","Programming Languages","Ohio Wesleyan University","Rice University"
"162","Sorin Istrail","Brown University","2005","Comp. Bio & Bioinformatics","Alexandru Ioan Cuza University","University of Bucharest"
"163","Stan Zdonik","Brown University","1983","Databases","Massachusetts Institute of Technology","Massachusetts Institute of Technology"
"164","Stefanie Tellex","Brown University","2013","Robotics","Massachusetts Institute of Technology","Massachusetts Institute of Technology"
"165","Stephen Bach","Brown University","2018","Machine Learning & Data Mining","Georgetown University","University of Maryland"
"166","Steven P. Reiss","Brown University","1977","Software Engineering","Dartmouth College","Yale University"
"167","Theophilus A. Benson","Carnegie Mellon University","2023","Computer Networks","Tufts University","University of Wisconsin-Madison"
"169","Ugur Çetintemel","Brown University","2001","Databases","Bilkent University","University of Maryland"
"170","Vasileios P. Kemerlis","Brown University","2015","Computer Security","Athens University of Economics and Business","Columbia University"
"171","Adam Wierman","California Institute of Technology","2007","Operating Systems","Carnegie Mellon University","Carnegie Mellon University"
"173","Alan H. Barr","California Institute of Technology","1984","Computer Graphics","Rensselaer Polytechnic Institute","Rensselaer Polytechnic Institute"
"174","Anima Anandkumar","California Institute of Technology","2017","Artificial Intelligence","Indian Institute of Technology Madras","Cornell University"
"175","Chris Umans","California Institute of Technology","2002","Algorithms & Complexity","Williams College","University of California, Berkeley"
"176","Erik Winfree","California Institute of Technology","1999","Comp. Bio & Bioinformatics","University of Chicago","California Institute of Technology"
"178","Fernando G. S. L. Brandão","California Institute of Technology","2016","High-Performance Computing","Federal University of Minas Gerais","Imperial College London"
"180","Joel A. Tropp","California Institute of Technology","2007","Algorithms & Complexity","University of Texas at Austin","University of Texas at Austin"
"181","Leonard J. Schulman","California Institute of Technology","2000","Algorithms & Complexity","Massachusetts Institute of Technology","Massachusetts Institute of Technology"
"182","Lior Pachter","California Institute of Technology","2017","Comp. Bio & Bioinformatics","California Institute of Technology","Massachusetts Institute of Technology"
"184","Peter Schröder","California Institute of Technology","1995","Algorithms & Complexity","Technical University of Berlin","Princeton University"
"185","Pietro Perona","California Institute of Technology","1991","Machine Learning & Data Mining","University of Padua","University of California, Berkeley"
"186","Steven H. Low","California Institute of Technology","2000","Computer Networks","Cornell University","University of California, Berkeley"
"187","Thomas Vidick","California Institute of Technology","2014","Cryptography","École normale supérieure","University of California, Berkeley"
"189","Venkat Chandrasekaran","California Institute of Technology","2012","Algorithms & Complexity","Rice University","Massachusetts Institute of Technology"
"190","Yaser S. Abu-Mostafa","California Institute of Technology","1983","Machine Learning & Data Mining","Cairo University","California Institute of Technology"
"191","Yisong Yue","California Institute of Technology","2014","Machine Learning & Data Mining","University of Illinois at Urbana-Champaign","Cornell University"
"193","Aarti Singh","Carnegie Mellon University","2009","Machine Learning & Data Mining","University of Delhi","University of Wisconsin-Madison"
"194","Anupam Gupta","New York University","2024","Algorithms & Complexity","Indian Institute of Technology Kanpur","University of California, Berkeley"
"197","Alessandro Acquisti","Carnegie Mellon University","2003","Economics & Computation","Sapienza University of Rome","University of California, Berkeley"
"198","Alexander Hauptmann","Carnegie Mellon University","1998","Natural Language Processing","Johns Hopkins University","Carnegie Mellon University"
"199","Alexander J. Smola","Carnegie Mellon University","2013","Machine Learning & Data Mining","Technical University of Munich","Technical University of Berlin"
"200","Alexander Waibel","Carnegie Mellon University","1992","Machine Learning & Data Mining","Massachusetts Institute of Technology","Carnegie Mellon University"
"201","Alonzo Kelly","Carnegie Mellon University","1995","Robotics","University of Toronto","Carnegie Mellon University"
"202","Ameet S. Talwalkar","Carnegie Mellon University","2018","Machine Learning & Data Mining","Yale University","New York University"
"205","Andreas R. Pfenning","Carnegie Mellon University","2016","Comp. Bio & Bioinformatics","Carnegie Mellon University","Duke University"
"206","Andrej Risteski","Carnegie Mellon University","2019","Machine Learning & Data Mining","Princeton University","Princeton University"
"207","Andrew Moore","Carnegie Mellon University","2014","Machine Learning & Data Mining","University of Cambridge","University of Cambridge"
"208","Andrew Pavlo","Carnegie Mellon University","2013","Databases","Rochester Institute of Technology","Brown University"
"209","André Platzer","Carnegie Mellon University","2008","Programming Languages","Karlsruhe Institute of Technology","University of Oldenburg"
"211","Ann Lee","Carnegie Mellon University","2005","Machine Learning & Data Mining","Chalmers University of Technology","Brown University"
"212","Anupam Datta","Carnegie Mellon University","2007","Computer Security","Indian Institute of Technology Kharagpur","Stanford University"
"213","Barnabás Póczos","Carnegie Mellon University","2012","Machine Learning & Data Mining","Eötvös Loránd University","Eötvös Loránd University"
"214","Benjamin Moseley","Carnegie Mellon University","2018","Machine Learning & Data Mining","University of Illinois at Urbana-Champaign","University of Illinois at Urbana-Champaign"
"216","Bhiksha Raj","Carnegie Mellon University","2008","Natural Language Processing","Osmania University","Carnegie Mellon University"
"218","Bogdan Vasilescu","Carnegie Mellon University","2016","Machine Learning & Data Mining","Oil & Gas University of Ploiești","Eindhoven University of Technology"
"219","Brad A. Myers","Carnegie Mellon University","1987","Human-Computer Interaction","Massachusetts Institute of Technology","University of Toronto"
"220","Bradley Schmerl","Carnegie Mellon University","2000","Software Engineering","University of Adelaide","Flinders University"
"222","Bruno Sinopoli","Carnegie Mellon University","2007","Computer Architecture","University of Padua","University of California, Berkeley"
"223","Bryan Parno","Carnegie Mellon University","2017","Cryptography","Harvard University","Carnegie Mellon University"
"224","Carl Kingsford","Carnegie Mellon University","2012","Comp. Bio & Bioinformatics","Duke University","Princeton University"
"225","Carolyn Penstein Rosé","Carnegie Mellon University","2003","Natural Language Processing","University of California, Irvine","Carnegie Mellon University"
"226","Changliu Liu","Carnegie Mellon University","2019","Robotics","Tsinghua University","University of California, Berkeley"
"227","Chinmay Eishan Kulkarni","Emory University","2015","Human-Computer Interaction","Birla Institute of Technology and Science","Stanford University"
"228","Chris Harrison","Carnegie Mellon University","2014","Human-Computer Interaction","New York University","Carnegie Mellon University"
"229","Christian Kästner","Carnegie Mellon University","2012","Software Engineering","University of Magdeburg","University of Magdeburg"
"230","Christopher Dyer","Carnegie Mellon University","2012","Natural Language Processing","Duke University","University of Maryland"
"231","Christopher G. Atkeson","Carnegie Mellon University","2000","Human-Computer Interaction","Harvard University","Massachusetts Institute of Technology"
"233","Christos Faloutsos","Carnegie Mellon University","1997","Databases","National Technical University of Athens","University of Toronto"
"234","Claire Le Goues","Carnegie Mellon University","2013","Software Engineering","Harvard University","University of Virginia"
"236","Daniel Dominic Kaplan Sleator","Carnegie Mellon University","1999","Algorithms & Complexity","University of Illinois at Urbana-Champaign","Stanford University"
"238","Dave Andersen","Carnegie Mellon University","2005","Computer Networks","University of Utah","Massachusetts Institute of Technology"
"239","David Brumley","Carnegie Mellon University","2009","Computer Security","University of Northern Colorado","Carnegie Mellon University"
"240","David Garlan","Carnegie Mellon University","1990","Computer Architecture","Amherst College","Carnegie Mellon University"
"241","David Held","Carnegie Mellon University","2017","Robotics","Massachusetts Institute of Technology","Stanford University"
"242","David P. Woodruff","Carnegie Mellon University","2017","Algorithms & Complexity","Massachusetts Institute of Technology","Massachusetts Institute of Technology"
"243","David R. O'Hallaron","Carnegie Mellon University","2010","Databases","Virginia Tech","University of Virginia"
"245","Deepak Pathak","Carnegie Mellon University","2020","Computer Vision","Indian Institute of Technology Kanpur","University of California, Berkeley"
"246","Deva Ramanan","Carnegie Mellon University","2008","Computer Vision","Ohio State University","University of California, Berkeley"
"247","Diana Marculescu","University of Texas at Austin","2019","Machine Learning & Data Mining","Politehnica University of Bucharest","University of Southern California"
"249","Douglas C. Sicker","Carnegie Mellon University","2013","Computer Networks","University of Pittsburgh","University of Pittsburgh"
"251","Emma Strubell","Carnegie Mellon University","2020","Natural Language Processing","University of Maine","University of Massachusetts Amherst"
"252","Eric Nyberg","Carnegie Mellon University","1993","Artificial Intelligence","Boston University","Carnegie Mellon University"
"253","Eric P. Xing","Carnegie Mellon University","2004","Machine Learning & Data Mining","Tsinghua University","University of California, Berkeley"
"254","Farnam Jahanian","Carnegie Mellon University","2007","Computer Networks","University of Texas at Austin","University of Texas at Austin"
"255","Fei Fang","Carnegie Mellon University","2017","Artificial Intelligence","Tsinghua University","University of Southern California"
"256","Frank Pfenning","Carnegie Mellon University","2002","Programming Languages","Technische Universität Darmstadt","Carnegie Mellon University"
"258","Gary K. Fedder","Carnegie Mellon University","1994","Comp. Bio & Bioinformatics","Massachusetts Institute of Technology","University of California, Berkeley"
"260","Geoff F. Kaufman","Carnegie Mellon University","2015","Human-Computer Interaction","Carnegie Mellon University","Ohio State University"
"262","Geoffrey J. Gordon","Carnegie Mellon University","1999","Machine Learning & Data Mining","Cornell University","Carnegie Mellon University"
"263","George Amvrosiadis","Carnegie Mellon University","2016","Operating Systems","University of Ioannina","University of Toronto"
"264","Graham Neubig","Carnegie Mellon University","2016","Natural Language Processing","University of Illinois at Urbana-Champaign","Kyoto University"
"265","Greg Ganger","Carnegie Mellon University","1997","Operating Systems","University of Michigan","University of Michigan"
"267","Guy E. Blelloch","Carnegie Mellon University","2009","Computer Architecture","Swarthmore College","Massachusetts Institute of Technology"
"268","Hartmut Geyer","Carnegie Mellon University","2010","Robotics","University of Jena","University of Jena"
"269","Heather Miller","Carnegie Mellon University","2018","High-Performance Computing","University of Miami","École polytechnique fédérale de Lausanne"
"270","Henny Admoni","Carnegie Mellon University","2017","Robotics","Wesleyan University","Yale University"
"271","Howie Choset","Carnegie Mellon University","1996","Artificial Intelligence","University of Pennsylvania","California Institute of Technology"
"272","Illah R. Nourbakhsh","Carnegie Mellon University","1997","Robotics","Stanford University","Stanford University"
"273","Ioannis Gkioulekas","Carnegie Mellon University","2017","Algorithms & Complexity","National Technical University of Athens","Harvard University"
"274","J. Andrew Bagnell","Carnegie Mellon University","2004","Machine Learning & Data Mining","University of Florida","Carnegie Mellon University"
"275","J. Zico Kolter","Carnegie Mellon University","2012","Machine Learning & Data Mining","Georgetown University","Stanford University"
"276","Jack Mostow","Carnegie Mellon University","1992","Robotics","Harvard University","Carnegie Mellon University"
"277","James C. Hoe","Carnegie Mellon University","2000","Computer Architecture","Beijing Jiaotong University","Massachusetts Institute of Technology"
"278","James D. Herbsleb","Carnegie Mellon University","2002","Software Engineering","Monmouth College","University of Nebraska-Lincoln"
"280","James K. Baker","Carnegie Mellon University","2003","Human-Computer Interaction","Princeton University","Carnegie Mellon University"
"281","James McCann","Carnegie Mellon University","2012","Computer Graphics","University of Michigan","Carnegie Mellon University"
"282","Jamie Callan","Carnegie Mellon University","1999","The Web & Information Retrieval","University of Connecticut","University of Massachusetts Amherst"
"283","Jan Hoffmann","Carnegie Mellon University","2015","Programming Languages","Ludwig Maximilian University of Munich","Ludwig Maximilian University of Munich"
"284","Jason I. Hong","Carnegie Mellon University","2004","Human-Computer Interaction","Georgia Institute of Technology","University of California, Berkeley"
"285","Javier Lopez","Carnegie Mellon University","1990","Comp. Bio & Bioinformatics","Cornell University","Duke University"
"286","Jean Yang","Carnegie Mellon University","2016","Programming Languages","Harvard University","Massachusetts Institute of Technology"
"287","Jeffrey Bigham","Carnegie Mellon University","2013","Human-Computer Interaction","Princeton University","University of Washington"
"288","Jeffrey Eppinger","Carnegie Mellon University","2001","Software Engineering","Carnegie Mellon University","Carnegie Mellon University"
"289","Jessica Hammer","Carnegie Mellon University","2014","Human-Computer Interaction","Harvard University","Columbia University"
"290","Jessica K. Hodgins","Carnegie Mellon University","2000","Computer Graphics","Yale University","Carnegie Mellon University"
"291","Jian Ma","Carnegie Mellon University","2016","Computer Graphics","Fudan University","Pennsylvania State University"
"292","Jodi Forlizzi","Carnegie Mellon University","2000","Human-Computer Interaction","The University of the Arts","Carnegie Mellon University"
"293","John Anderson","Carnegie Mellon University","1978","Human-Computer Interaction","University of British Columbia","Stanford University"
"294","John C. Stamper","Carnegie Mellon University","2015","Human-Computer Interaction","Miami University","University of North Carolina at Charlotte"
"296","Jonathan Aldrich","Carnegie Mellon University","2003","Software Engineering","California Institute of Technology","University of Washington"
"297","Jun-Yan Zhu","Carnegie Mellon University","2020","Computer Vision","Tsinghua University","University of California, Berkeley"
"298","Justine Cassell","Carnegie Mellon University","2010","Human-Computer Interaction","Dartmouth College","University of Chicago"
"299","Justine Sherry","Carnegie Mellon University","2017","Computer Networks","University of Washington","University of California, Berkeley"
"300","K. V. Rashmi","Carnegie Mellon University","2017","Algorithms & Complexity","National Institute of Technology Karnataka","University of California, Berkeley"
"301","Karl Crary","Carnegie Mellon University","2016","Programming Languages","Carnegie Mellon University","Cornell University"
"302","Katerina Fragkiadaki","Carnegie Mellon University","2016","Machine Learning & Data Mining","National Technical University of Athens","University of Pennsylvania"
"303","Kathleen M. Carley","Carnegie Mellon University","1984","Computer Networks","Massachusetts Institute of Technology","Harvard University"
"304","Kathryn Roeder","Carnegie Mellon University","1994","Comp. Bio & Bioinformatics","University of Idaho","Pennsylvania State University"
"305","Keenan Crane","Carnegie Mellon University","2015","Computer Graphics","University of Illinois at Urbana-Champaign","California Institute of Technology"
"306","Kemal Oflazer","Carnegie Mellon University","2008","Natural Language Processing","Middle East Technical University","Carnegie Mellon University"
"307","Ken Koedinger","Carnegie Mellon University","1993","Human-Computer Interaction","University of Wisconsin-Madison","Carnegie Mellon University"
"308","Kun Zhang","Carnegie Mellon University","2015","Machine Learning & Data Mining","University of Science and Technology of China","The Chinese University of Hong Kong"
"309","Larry Wasserman","Carnegie Mellon University","1988","Algorithms & Complexity","University of Toronto","University of Toronto"
"310","Laura A. Dabbish","Carnegie Mellon University","2007","Human-Computer Interaction","University of Southern California","Carnegie Mellon University"
"311","Leman Akoglu","Carnegie Mellon University","2016","Machine Learning & Data Mining","Bilkent University","Carnegie Mellon University"
"312","Lenore Blum","Carnegie Mellon University","1999","Algorithms & Complexity","Carnegie Mellon University","Massachusetts Institute of Technology"
